neighborhood,month,year,month_abbr,date,Income,SNAP,CPS,Free Store Foodbank,La Soupe,Whole Again,Childhood Food Solutions,NA,Charitable,total_covered
Avondale,1,2019,Jan,2019-01-01,0.661131539,0.266948204,0.052177484,0,0,0,0,0,0,0.9802572270000001
Bond Hill,1,2019,Jan,2019-01-01,0.861170719,0.116549198,0.046140334,0,0,0,0,0,0,1.0238602509999999
California,1,2019,Jan,2019-01-01,0.995655354,0,0.005511193,0,0,0,0,0,0,1.001166547
Camp Washington,1,2019,Jan,2019-01-01,0.850194744,0.157081186,0.0274363,0,0,0,0,0,0,1.03471223
Carthage,1,2019,Jan,2019-01-01,0.798250225,0.149710294,0.077404725,0,0,0,0,0,0,1.025365244
Clifton,1,2019,Jan,2019-01-01,0.867285366,0.048515761,0.013416217,0,0,0,0,0,0,0.9292173439999999
College Hill,1,2019,Jan,2019-01-01,0.848234995,0.102428571,0.05099513,0,0,0,0,0,0,1.001658696
Columbia Tusculum,1,2019,Jan,2019-01-01,0.985060788,0,0.004337843,0,0,0,0,0,0,0.9893986309999999
Corryville,1,2019,Jan,2019-01-01,0.707081154,0.06494105,0.005894546,0,0,0,0,0,0,0.7779167499999999
CUF,1,2019,Jan,2019-01-01,0.757190222,0.036433145,0.006472898,0,0,0,0,0,0,0.8000962649999999
Downtown,1,2019,Jan,2019-01-01,0.894340912,0.120786409,0.003751558,0,0,0,0,0,0,1.018878879
East End,1,2019,Jan,2019-01-01,0.906127111,0.070947314,0.039639204,0,0,0,0,0,0,1.016713629
East Price Hill,1,2019,Jan,2019-01-01,0.787443661,0.207338105,0.055276023,0,0,0,0,0,0,1.050057789
East Walnut Hills,1,2019,Jan,2019-01-01,0.939804694,0.05259671,0.016243192,0,0,0,0,0,0,1.008644596
East Westwood,1,2019,Jan,2019-01-01,0.744960522,0.228974524,0.0699289,0,0,0,0,0,0,1.043863946
English Woods,1,2019,Jan,2019-01-01,0.633179512,0.251511143,0.06618934,0,0,0,0,0,0,0.950879995
Evanston,1,2019,Jan,2019-01-01,0.833913829,0.127339919,0.016897,0,0,0,0,0,0,0.978150748
Hartwell,1,2019,Jan,2019-01-01,0.916339072,0.081846555,0.022326223,0,0,0,0,0,0,1.02051185
Hyde Park,1,2019,Jan,2019-01-01,0.954528694,0.012937895,0.024733448,0,0,0,0,0,0,0.9922000369999999
Kennedy Heights,1,2019,Jan,2019-01-01,0.909102727,0.087973313,0.025485806,0,0,0,0,0,0,1.022561846
Linwood,1,2019,Jan,2019-01-01,0.750871946,0.174522589,0.06755255,0,0,0,0,0,0,0.992947085
Lower Price Hill,1,2019,Jan,2019-01-01,0.52970774,0.274978746,0.04956518,0,0,0,0,0,0,0.854251666
Madisonville,1,2019,Jan,2019-01-01,0.874742712,0.081368714,0.036964722,0,0,0,0,0,0,0.993076148
